date,rf
2022-03-02,-1.6124153759955462e-05
2022-03-03,-8.979630417305096e-05
2022-03-04,0.00010815448686796181
2022-03-07,-0.00010897479735405557
2022-03-08,5.727360937735071e-05
2022-03-09,-3.614146994601608e-05
2022-03-10,1.0564811504520932e-05
2022-03-11,-1.1954791981128032e-05
2022-03-14,-0.00011926874083068029
2022-03-15,-8.897564013676806e-06
2022-03-16,7.618606973847086e-05
2022-03-17,7.451208485931282e-05
2022-03-18,-9.452321378944362e-06
2022-03-21,-0.0002649394725894316
2022-03-22,9.315660459452424e-05
2022-03-23,3.3366421701597204e-05
2022-03-24,1.3902211841942957e-05
2022-03-25,-4.1984096090796896e-05
2022-03-28,-0.0001098273208669509
2022-03-29,8.675920982392782e-05
2022-03-30,3.280993151077993e-05
2022-03-31,8.313430221407181e-05
2022-04-01,-1.0847317333362305e-05
2022-04-04,-0.0003484985359166748
2022-04-05,6.649655789869868e-05
2022-04-06,-2.9212026452118955e-05
2022-04-07,-4.729704351613684e-06
2022-04-08,-4.173288284059495e-06
2022-04-11,-0.00018111451361579878
2022-04-12,0.0001096344775388669
2022-04-13,-1.1129183669078557e-06
2022-04-14,-4.3403864613322796e-05
2022-04-18,-5.9539906761552075e-05
2022-04-19,2.2815715241986112e-05
2022-04-20,2.2815194697045627e-05
2022-04-21,2.2814674175863914e-05
2022-04-22,2.2814153678440974e-05
2022-04-25,-0.0001791623104817619
2022-04-26,0.0001886549900915746
2022-04-27,5.8978339370074906e-05
2022-04-28,4.033657954716219e-05
2022-04-29,-1.196139972858834e-05
2022-05-02,-0.00015226390257117028
2022-05-03,2.505637684779849e-05
2022-05-04,7.405365827839461e-05
2022-05-05,0.00012137219619101636
2022-05-06,2.3380796349892208e-05
2022-05-09,-0.00016142750902869984
2022-05-10,9.408846096881085e-05
2022-05-11,2.226736311783384e-06
2022-05-12,-8.628583993708361e-05
2022-05-13,-0.00010550050105784248
2022-05-16,-9.882459969778878e-05
2022-05-17,5.067001348613154e-05
2022-05-18,0.00011191380966302233
2022-05-19,-1.2247901990058985e-05
2022-05-20,8.907674184022163e-05
2022-05-23,-8.711552966522706e-05
2022-05-24,6.763871573278735e-05
2022-05-25,2.9224628847135392e-05
2022-05-26,1.0854544923333265e-05
2022-05-27,2.95017762292904e-05
2022-05-31,-8.932974307540587e-05
2022-06-01,5.6830781334227254e-05
2022-06-02,6.128461466525792e-06
2022-06-03,-6.769122771832503e-05
2022-06-06,-0.00011114760318131633
2022-06-07,1.0586662699374472e-05
2022-06-08,1.1143737498109374e-05
2022-06-09,1.1700793982605262e-05
2022-06-10,-0.00014765114880943564
2022-06-13,-0.0007330160923639806
2022-06-14,-0.00014860667993998877
2022-06-15,0.00024288115610326955
2022-06-16,0.0003649302325323678
2022-06-17,-4.06878362321228e-05
2022-06-21,-0.00011424991863173695
2022-06-22,0.00022183738205150405
2022-06-23,5.293938997175118e-06
2022-06-24,-8.832472515540868e-05
2022-06-27,-0.00011674418034435252
2022-06-28,4.876519558316694e-05
2022-06-29,8.387204636650658e-05
2022-06-30,0.00016912313139116897
2022-07-01,4.63075580630079e-05
2022-07-05,-0.0004390036012799081
2022-07-06,7.58967112726161e-05
2022-07-07,-4.3246681863395864e-05
2022-07-08,5.85948126841096e-06
2022-07-11,-0.0004438755496830593
2022-07-12,-7.536116840012319e-06
2022-07-13,-0.0003145654698105682
2022-07-14,6.505485129104649e-05
2022-07-15,0.00015104027945533893
2022-07-18,-0.00024589534794472456
2022-07-19,2.7359445038843688e-05
2022-07-20,0.00010887644533474905
2022-07-21,0.00014738590990703848
2022-07-22,4.7446803759898515e-05
2022-07-25,-0.00019449650241154526
2022-07-26,0.00020011638568040446
2022-07-27,0.0002687217883978743
2022-07-28,0.00010182461338037463
2022-07-29,8.312505578866869e-05
2022-08-01,-0.000290626837376351
2022-08-02,6.932347001975536e-05
2022-08-03,0.00016882448961341723
2022-08-04,0.00014196749056250013
2022-08-05,-0.00010282799335659121
2022-08-08,-0.00014194226191133197
2022-08-09,4.8624920774953395e-05
2022-08-10,0.00011792367152829719
2022-08-11,0.00016205607810881872
2022-08-12,4.8050222539508525e-05
2022-08-15,-0.00014440267846005383
2022-08-16,0.0001159299157567073
2022-08-17,0.00011479921031565254
2022-08-18,3.100060744443134e-05
2022-08-19,1.172959594875067e-05
2022-08-22,-0.00012174499672756856
2022-08-23,0.0001343267743143528
2022-08-24,3.7695798258852165e-05
2022-08-25,-1.731149181494196e-05
2022-08-26,7.762383934206696e-05
2022-08-29,-0.00011585033588212834
2022-08-30,9.799561281176317e-05
2022-08-31,9.742768576592731e-05
2022-09-01,5.512211787572774e-05
2022-09-02,0.0001552847166261806
2022-09-06,-0.0001817932646993592
2022-09-07,3.5805798301646874e-05
2022-09-08,0.00010657438052597001
2022-09-09,6.0133989716826264e-05
2022-09-12,-0.0001596684712092955
2022-09-13,-0.00013172654910831305
2022-09-14,0.00019691657729903334
2022-09-15,0.0001303196859352429
2022-09-16,0.00012918422677365982
2022-09-19,-0.00029574799363796256
2022-09-20,0.00015155277280065604
2022-09-21,0.00018899289711016287
2022-09-22,0.00012830081089476586
2022-09-23,0.00022219185134431108
2022-09-26,-0.00023970444274579172
2022-09-27,0.00016375347556962794
2022-09-28,3.827739432082922e-05
2022-09-29,0.000143883967498315
2022-09-30,0.00015922730619810643
2022-10-03,-0.0002089038986058389
2022-10-04,0.0001428461793127056
2022-10-05,6.861238316302476e-05
2022-10-06,0.00011733312723016809
2022-10-07,0.0001167593648292442
2022-10-10,9.26515041033138e-05
2022-10-11,-0.0004061174555496372
2022-10-12,3.164019110690752e-05
2022-10-13,-7.727802168266962e-05
2022-10-14,8.008413874827092e-05
2022-10-17,-0.00025474069636599594
